項次,school,schoolname,postalcode,address,telephone,經度,緯度
263,高中職,私立華興高中,111014,臺北市士林區仰德大道1段101號,(02)28316834,121.538208174304,25.104604086422
264,高中職,私立薇閣高中,112014,臺北市北投區珠海路50號,(02)28925332,121.504568747014,25.139957571002
265,高中職,私立幼華高中,112028,臺北市北投區北投路二段55號,(02)28921166,121.496722279813,25.133622109487
266,高中職,私立奎山實驗高中,112040,臺北市北投區明德路200號,(02)28212009,121.522064125874,25.1129710279
267,高中職,私立育達高中,105036,臺北市松山區寧安街12號,(02)25706767,121.554349037611,25.049639504892
268,高中職,私立東方工商,106337,臺北市大安區信義路4段186巷8號,(02)27554616,121.551491479181,25.032144838493
269,高中職,私立喬治工商,110005,臺北市信義區基隆路2段155號,(02)27386515,121.554378458091,25.025775388361
270,高中職,私立開平餐飲,106318,臺北市大安區復興南路2段148巷24號,(02)27556939,121.542399712625,25.028532363953
271,高中職,私立稻江護家,104332,臺北市中山區新生北路3段55號,(02)25955161,121.528582480517,25.065374013533
272,高中職,私立開南高中,100026,臺北市中正區濟南路一段6號,(02)23212666,121.521837227755,25.042417405659
273,高中職,私立稻江高商,103041,臺北市大同區民權西路225巷24號,(02)25912001,121.512039369676,25.064340357233
274,高中職,私立華岡藝校,111095,臺北市士林區建業路73巷8號,(02)28612354,121.548963664821,25.137097246543
275,高中職,私立惇敘工商,112007,臺北市北投區泉源路221號,(02)28912630,121.527059991624,25.144726622451
276,高中職,私立南華高中,100047,臺北市中正區汀州路3段58號,(02)23686818,121.531050028992,25.015646654654
277,高中職,私立志仁高中,103014,臺北市大同區南京西路64巷17號,(02)25551656,121.518733220461,25.052190882727
278,特教學校,臺北市立啟聰學校,103036,臺北市大同區重慶北路三段320號,(02)25924446,121.513589099754,25.074697833077
279,特教學校,臺北市立臺北特殊教育學校,111036,臺北市士林區忠誠路二段207巷3號,(02)28749117,121.536363065958,25.116550813018
280,特教學校,臺北市立啟明學校,111036,臺北市士林區忠誠路二段207巷1號,(02)28740670,121.535223127126,25.116545029504
281,特教學校,臺北市立文山特殊教育學校,116025,臺北市文山區秀明路一段169號,(02)86615183,121.567646591723,24.991439802102
282,市立大專校院,臺北市立大學（博愛校區）,100234,臺北市中正區愛國西路1號,(02)23113040,121.513580214937,25.035559164842
283,市立大專校院,臺北市立大學（天母校區）,111036,臺北市士林區忠誠路二段101號,(02)28718288,121.536531374574,25.116240305415
