序號,標題,地址,價格,價格單位,房屋類型,格局,坪數,樓層,連結,抓取時間,可住人數,身份要求,緯度,經度,設施,冰箱,洗衣機,電視,冷氣,熱水器,床,衣櫃,第四台,網路WiFi,天然瓦斯,沙發,桌椅,陽台,電梯,車位,浴缸
577,市府靜巷美妝時尚宅,信義區-忠孝東路五段71巷12弄8號,33500,元/月,整棟出租,1房1廳,16.1坪,3F/7F,https://rent.591.com.tw/21654056,2026-07-17 23:53:29,1人,學生、上班族、家庭,25.0419140,121.5672073,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、沙發、桌椅、電梯、車位,有,有,有,有,有,有,有,無,無,無,有,有,無,有,有,
578,北投站/新裝潢/可報稅/2+3樓/機能佳/,北投區-大興街89巷,31999,元/月,整棟出租,3房1廳,20坪,2F/2F,https://rent.591.com.tw/21637777,2026-07-17 23:53:29,3人,學生、上班族、家庭,25.1311939,121.5022011,冷氣、熱水器、天然瓦斯、陽台,無,無,無,有,有,無,無,無,無,有,無,無,有,無,無,
579,克強路/20.0坪/男女皆可,士林區-克強路,34900,元/月,整棟出租,1房1廳,20坪,4F/11F,https://rent.591.com.tw/21637772,2026-07-17 23:53:29,1人,學生、上班族、家庭,25.1082010,121.5227969,洗衣機、冷氣、熱水器、床、陽台、電梯,無,有,無,有,有,有,無,無,無,無,無,無,有,有,無,
580,忠孝復興3分，全新裝潢/限女生，可租補/台水電/東區SOGO,大安區-忠孝東路三段248巷19弄,16999,元/月,共用套房,,6坪,5F/5F,https://rent.591.com.tw/21644110,2026-07-17 23:53:29,1人,學生、上班族、家庭,25.0401711,121.5422589,冰箱、洗衣機、冷氣、熱水器、床、衣櫃、網路WiFi、天然瓦斯、桌椅,有,有,無,有,有,有,有,無,有,有,無,有,無,無,無,
581,捷運麟光站，全新裝潢/採光套房，入籍/獨洗/垃圾代收,大安區-和平東路三段530巷,10990,元/月,私人套房,,5坪,1F/1F,https://rent.591.com.tw/21643019,2026-07-17 23:53:29,2人,學生、上班族、家庭,25.0150305,121.5608782,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、第四台、網路WiFi、桌椅,有,有,有,有,有,有,有,有,有,無,無,有,無,無,無,
582,南門市場/中正紀念堂，採光共用套房，包水電/機能強/低樓層,中正區-南昌路一段24巷,9600,元/月,共用套房,,5坪,3F/4F,https://rent.591.com.tw/21643025,2026-07-17 23:53:29,1人,學生、上班族、家庭,25.0317230,121.5161580,冰箱、洗衣機、冷氣、熱水器、床、衣櫃、網路WiFi、天然瓦斯、桌椅,有,有,無,有,有,有,有,無,有,有,無,有,無,無,無,
583,可租補✨全新首租✨高樓層採光✨西門商圈✨有陽台,萬華區-康定路,34500,元/月,整棟出租,1房1廳,14.8坪,12F/15F,https://rent.591.com.tw/21641635,2026-07-17 23:53:29,1人,學生、上班族、家庭,25.0386425,121.5019689,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、天然瓦斯、沙發、陽台、電梯,有,有,有,有,有,有,有,無,無,有,有,無,有,有,無,
584,台北車站生活圈｜獨立門牌｜台水台電｜電梯,中山區-中山北路一段,17000,元/月,整棟出租,開放式格局,6坪,6F/12F,https://rent.591.com.tw/21493603,2026-07-17 23:53:29,,學生、上班族、家庭,25.0488563,121.5214752,冰箱、電視、冷氣、熱水器、床、衣櫃、桌椅、電梯,有,無,有,有,有,有,有,無,無,無,無,有,無,有,無,
585,❤️西門站🔸可租補🔸每週免費清潔🔸衛浴乾濕分離,萬華區-漢口街二段,19000,元/月,私人套房,,5坪,8F/10F,https://rent.591.com.tw/21543539,2026-07-17 23:53:29,2人,學生、上班族、家庭,25.0466098,121.5064836,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、網路WiFi、沙發、桌椅、電梯,有,有,有,有,有,有,有,無,有,無,有,有,無,有,無,
586,大陽台~新冷氣.新家具~可租補~屋況佳,萬華區-西昌街,15000,元/月,共用套房,,9坪,2F/5F,https://rent.591.com.tw/21604990,2026-07-17 23:53:29,2人,學生、上班族、家庭,25.0395830,121.5007890,冰箱、洗衣機、冷氣、熱水器、床、衣櫃、天然瓦斯、桌椅、陽台,有,有,無,有,有,有,有,無,無,有,無,有,有,無,無,
587,雙租補｜古亭四米二樓中樓乾濕分離流理台陽台English,大安區-杭州南路二段61巷,33999,元/月,私人套房,樓中樓,11.1坪,1F/8F,https://rent.591.com.tw/21631985,2026-07-17 23:53:29,2人,學生、上班族、家庭,25.0289814,121.5236043,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、沙發、桌椅、陽台、電梯,有,有,有,有,有,有,有,無,無,無,有,有,有,有,無,
588,開門胡～浪漫陽台貴套房～可貓狗可議～可租補,中正區-開封街一段106巷8號,15000,元/月,私人套房,,7坪,2F/4F,https://rent.591.com.tw/21616169,2026-07-17 23:53:29,2人,學生、上班族、家庭,25.0459040,121.5140050,冰箱、洗衣機、冷氣、熱水器、床、衣櫃、桌椅、陽台,有,有,無,有,有,有,有,無,無,無,無,有,有,無,無,
589,MRT石牌｜高樓視野｜採光四房｜戶數單純,北投區-石牌路一段,110000,元/月,整棟出租,4房2廳,71.8坪,10F/12F,https://rent.591.com.tw/21618715,2026-07-17 23:53:29,4人,上班族、家庭,25.1129076,121.5096611,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、天然瓦斯、沙發、桌椅、陽台、電梯、車位,有,有,有,有,有,有,有,無,無,有,有,有,有,有,有,
590,興隆C☀️台北文山區｜雙捷運｜乾溼分離衛浴｜獨洗大套房,文山區-興隆路二段84號,18200,元/月,私人套房,,7.5坪,4F/4F,https://rent.591.com.tw/18213686,2026-07-17 23:53:29,2人,學生、上班族、家庭,24.9998493,121.5483475,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、第四台、網路WiFi、沙發、桌椅、陽台,有,有,有,有,有,有,有,有,有,無,有,有,有,無,無,
591,Ximen｜西門挑高4米2景觀兩房小豪宅~通風明亮,萬華區-成都路,36000,元/月,整棟出租,2房2廳,26坪,7F/14F,https://rent.591.com.tw/21408399,2026-07-17 23:53:29,2人,上班族、家庭,25.0427224,121.5016441,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、第四台、沙發、桌椅、陽台、電梯,有,有,有,有,有,有,有,有,無,無,有,有,有,有,無,
592,💖近台電大樓站🌟租屋補助🌟管理員X垃圾代收🌟全新裝修,大安區-新生南路三段,25000,元/月,私人套房,,6坪,12F/12F,https://rent.591.com.tw/21642441,2026-07-17 23:53:29,2人,學生、上班族、家庭,25.0266140,121.5355951,冰箱、洗衣機、電視、熱水器、床、衣櫃、桌椅、電梯,有,有,有,無,有,有,有,無,無,無,無,有,無,有,無,
593,獨立露台‧流理台可煮‧衛浴乾溼‧龍山寺站‧含水網路第四台,萬華區-西園路二段13巷,22000,元/月,私人套房,,9坪,頂樓加蓋/1F,https://rent.591.com.tw/21655774,2026-07-17 23:53:29,2人,學生、上班族、家庭,25.0323066,121.4990026,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、第四台、網路WiFi、沙發、桌椅、陽台,有,有,有,有,有,有,有,有,有,無,有,有,有,無,無,
594,捷運圓山2分【優質電梯】可報稅★大空間★警衛管理,大同區-承德路三段,22999,元/月,私人套房,,11坪,7F/7F,https://rent.591.com.tw/21649189,2026-07-17 23:53:29,2人,學生、上班族、家庭,25.0705369,121.5186703,冰箱、冷氣、熱水器、沙發、桌椅,有,無,無,有,有,無,無,無,無,無,有,有,無,無,無,
595,租金全包免電費秒殺價‼️可租補✅雙租補✨可貓✅獨洗✅可短租✅,萬華區-西園路二段281巷22號,20800,元/月,私人套房,,10.2坪,3F/4F,https://rent.591.com.tw/21563792,2026-07-17 23:53:29,2人,學生、上班族、家庭,25.0242360,121.4909090,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、第四台、網路WiFi、沙發、桌椅、陽台,有,有,有,有,有,有,有,有,有,無,有,有,有,無,無,
596,可租補-有客臥大套房/開放式/全新裝修/台水電計費,大安區-嘉興街,16988,元/月,私人套房,,10坪,3F/3F,https://rent.591.com.tw/21630553,2026-07-17 23:53:29,2人,學生、上班族、家庭,25.0315730,121.5579775,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、第四台、沙發、桌椅,有,有,有,有,有,有,有,有,無,無,有,有,無,無,無,
597,寵物友善‧一層一戶‧可短租‧松山站‧共用洗衣機,信義區-永吉路225巷5弄,17400,元/月,私人套房,,5坪,3F/3F,https://rent.591.com.tw/21655777,2026-07-17 23:53:29,2人,學生、上班族、家庭,25.046506,121.574727,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、網路WiFi、桌椅,有,有,有,有,有,有,有,無,有,無,無,有,無,無,無,
598,✨泰安8之1號機械車位住商劉采庭,中正區-泰安街8號,3000,元/月,車位,機械式,2坪,,https://rent.591.com.tw/21653966,2026-07-17 23:53:29,,,25.0384775,121.5250478,,,,,,,,,,,,,,,,,
599,可租補✅可雙可三租補✅可短租❗超美設計裝潢✅近三捷運✅大巨蛋,松山區-光復南路66巷4號,40000,元/月,整棟出租,2房1廳,22.2坪,3F/5F,https://rent.591.com.tw/21624551,2026-07-17 23:53:29,2人,學生、上班族、家庭,25.0429033,121.5575905,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、第四台、網路WiFi、沙發、桌椅、陽台,有,有,有,有,有,有,有,有,有,無,有,有,有,無,無,
600,秒殺租金全包價✨可租補雙租補✅高補質感裝潢、傢俱✅近忠孝敦化,大安區-安和路一段21巷19號,25000,元/月,私人套房,,9.5坪,3F/6F,https://rent.591.com.tw/21624549,2026-07-17 23:53:29,2人,學生、上班族、家庭,25.0403130,121.5520280,冰箱、洗衣機、冷氣、熱水器、床、衣櫃、第四台、網路WiFi、天然瓦斯、桌椅、陽台、電梯,有,有,無,有,有,有,有,有,有,有,無,有,有,有,無,
601,租補【行天宮捷運2分】永豐富邦商圈｜美學設計住家工作室．可貓,中山區-松江路194巷,21000,元/月,共用套房,,8坪,2F/2F,https://rent.591.com.tw/21539261,2026-07-17 23:53:29,2人,學生、上班族、家庭,25.0571338,121.5325573,冰箱、冷氣、熱水器、床、沙發、陽台,有,無,無,有,有,有,無,無,無,無,有,,有,無,無,
602,MRT芝山｜溫馨裝潢｜生活機能便利｜戶數單純,士林區-忠誠路一段,75000,元/月,整棟出租,3房2廳,35坪,3F/9F,https://rent.591.com.tw/21564166,2026-07-17 23:53:29,3人,上班族、家庭,25.1056203,121.5284368,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、天然瓦斯、沙發、桌椅、陽台、電梯、車位,有,有,有,有,有,有,有,無,無,有,有,有,有,有,有,
603,MRT忠孝敦化｜177巷精品1房｜靜謐美宅｜拎包入住,大安區-敦化南路一段177巷,54000,元/月,整棟出租,1房1廳,23坪,4F/8F,https://rent.591.com.tw/21564266,2026-07-17 23:53:31,1人,上班族、家庭,25.0438070,121.5515687,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、沙發、桌椅、陽台、電梯、車位,有,有,有,有,有,有,有,無,無,無,有,有,有,有,有,
604,MRT石牌樓中樓｜高質感裝潢｜高樓景觀｜稀有釋出,北投區-石牌路一段,120000,元/月,整棟出租,3房3廳,72坪,7F/7F,https://rent.591.com.tw/21564002,2026-07-17 23:53:31,3人,上班族、家庭,25.1131971,121.5113780,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、天然瓦斯、沙發、桌椅、陽台、電梯、車位,有,有,有,有,有,有,有,無,無,有,有,有,有,有,有,
605,天母靜謐美邸｜近美日僑學校｜採光3+1｜稀有釋出,士林區-中山北路六段,110000,元/月,整棟出租,4房3廳,73.9坪,5F/7F,https://rent.591.com.tw/21564032,2026-07-17 23:53:31,4人,上班族、家庭,25.1170293,121.5262471,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、第四台、網路WiFi、天然瓦斯、沙發、桌椅、陽台、電梯、車位,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,
606,MRT大直｜高樓視野｜質感2+1書房邸宅｜戶數單純,中山區-明水路,95000,元/月,整棟出租,3房2廳,59坪,10F/16F,https://rent.591.com.tw/21564402,2026-07-17 23:53:31,3人,上班族、家庭,25.0790092,121.5510462,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、天然瓦斯、沙發、桌椅、陽台、電梯、車位,有,有,有,有,有,有,有,無,無,有,有,有,有,有,有,
607,天母靜巷美邸｜設計師裝潢｜獨立更衣室｜獨門獨戶,士林區-天母北路28巷,100000,元/月,整棟出租,2房2廳,68坪,3F/7F,https://rent.591.com.tw/21564391,2026-07-17 23:53:31,2人,上班族、家庭,25.1188977,121.5248442,冰箱、洗衣機、冷氣、熱水器、床、衣櫃、天然瓦斯、沙發、桌椅、陽台、電梯、車位,有,有,無,有,有,有,有,無,無,有,有,有,有,有,有,
608,MRT石牌｜採光四房｜戶數單純｜使用大空間,北投區-石牌路一段,110000,元/月,整棟出租,4房2廳,71坪,4F/12F,https://rent.591.com.tw/21566269,2026-07-17 23:53:31,4人,學生、上班族、家庭,25.1129076,121.5096611,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、天然瓦斯、沙發、陽台、電梯、車位,有,有,有,有,有,有,有,無,無,有,有,,有,有,有,
609,MRT劍南路｜設計師裝潢｜品味景觀豪邸｜公設齊全,中山區-樂群二路,140000,元/月,整棟出租,4房2廳,76坪,4F/11F,https://rent.591.com.tw/21564022,2026-07-17 23:53:31,4人,上班族、家庭,25.0802482,121.5556972,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、天然瓦斯、沙發、桌椅、陽台、電梯、車位,有,有,有,有,有,有,有,無,無,有,有,有,有,有,有,
610,MRT松山｜高樓遠眺101｜靜奢質感美三房｜戶數單純,松山區-八德路四段,75000,元/月,整棟出租,3房2廳,39.9坪,12F/13F,https://rent.591.com.tw/21628468,2026-07-17 23:53:31,3人,上班族、家庭,25.0495997,121.5711235,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、天然瓦斯、沙發、桌椅、陽台、電梯、車位,有,有,有,有,有,有,有,無,無,有,有,有,有,有,有,
611,MRT劍南路｜設計師裝潢｜採光兩房｜生活機能滿分,中山區-堤頂大道二段,70000,元/月,整棟出租,2房2廳,33.9坪,8F/10F,https://rent.591.com.tw/21575295,2026-07-17 23:53:31,2人,上班族、家庭,25.0840570,121.5619864,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、天然瓦斯、沙發、桌椅、陽台、電梯、車位,有,有,有,有,有,有,有,無,無,有,有,有,有,有,有,
612,MRT芝山｜天母採光三房｜高樓視野｜近美日僑學校,士林區-忠誠路一段,52000,元/月,整棟出租,3房2廳,33坪,15F/15F,https://rent.591.com.tw/21638004,2026-07-17 23:53:31,3人,上班族、家庭,25.1073489,121.5302981,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、天然瓦斯、沙發、桌椅、陽台、電梯,有,有,有,有,有,有,有,無,無,有,有,有,有,有,無,
613,MRT松江南京｜華固景觀豪邸｜設計師裝潢｜寵物可談,中山區-吉林路,250000,元/月,整棟出租,4房3廳,75坪,6F/14F,https://rent.591.com.tw/21588396,2026-07-17 23:53:31,4人,上班族、家庭,25.0481947,121.5292841,冰箱、冷氣、熱水器、衣櫃、天然瓦斯、沙發、桌椅、陽台、電梯、車位,有,無,無,有,有,無,有,無,無,有,有,有,有,有,有,
614,MRT劍南路｜稀有庭院美邸｜寵物友善｜可報稅可入籍,中山區-敬業三路,98000,元/月,整棟出租,2房2廳,34坪,1F/7F,https://rent.591.com.tw/21563466,2026-07-17 23:53:31,2人,上班族、家庭,25.0819901,121.5572529,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、天然瓦斯、沙發、桌椅、陽台、電梯、車位,有,有,有,有,有,有,有,無,無,有,有,有,有,有,有,
615,士林名邸｜設計師裝潢｜環境清幽｜高樓視野,士林區-士商路,75000,元/月,整棟出租,2房2廳,53坪,12F/13F,https://rent.591.com.tw/21575298,2026-07-17 23:53:31,2人,上班族、家庭,25.0928713,121.5169859,冰箱、洗衣機、冷氣、熱水器、天然瓦斯、陽台、車位,有,有,無,有,有,無,無,無,無,有,無,無,有,無,有,
616,天母稀有樓中樓｜遠挑山景｜採光3+1房｜24小時管理,士林區-芝玉路二段20巷,108000,元/月,整棟出租,4房2廳,72.5坪,10F~11F/13F,https://rent.591.com.tw/21611067,2026-07-17 23:53:31,4人,學生、上班族、家庭,25.1107946,121.5349372,冷氣、熱水器、衣櫃、天然瓦斯、沙發、桌椅、陽台、電梯、車位,無,無,無,有,有,無,有,無,無,有,有,有,有,有,有,
617,MRT市政府｜近松山文創園區｜全新裝潢｜傢俱可議,信義區-基隆路一段172巷,138000,元/月,整棟出租,4房2廳,54.5坪,5F/14F,https://rent.591.com.tw/21611134,2026-07-17 23:53:31,4人,學生、上班族、家庭,25.0421693,121.5640934,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、天然瓦斯、沙發、桌椅、陽台、電梯、車位,有,有,有,有,有,有,有,無,無,有,有,有,有,有,有,
618,MRT國父紀念館｜設計師裝潢｜採光正四房｜24小時管理,大安區-光復南路,90000,元/月,整棟出租,4房2廳,43.4坪,6F/12F,https://rent.591.com.tw/21645552,2026-07-17 23:53:31,4人,上班族、家庭,25.0372696,121.5573229,冰箱、洗衣機、電視、冷氣、熱水器、衣櫃、天然瓦斯、沙發、桌椅、陽台、電梯、車位,有,有,有,有,有,無,有,無,無,有,有,有,有,有,有,
619,捷運松山站學區精美套房全新裝潢傢俱齊全可租補,松山區-饒河街,17000,元/月,共用套房,,6坪,4F/4F,https://rent.591.com.tw/21655729,2026-07-17 23:53:31,2人,學生、上班族、家庭,25.0506465,121.5761216,冰箱、洗衣機、冷氣、熱水器、床、衣櫃、桌椅,有,有,無,有,有,有,有,無,無,無,無,有,無,無,無,
620,社宅-中坡南路3房,信義區-中坡南路267號,27000,元/月,整棟出租,3房2廳,25坪,5F/5F,https://rent.591.com.tw/21641656,2026-07-17 23:53:31,3人,上班族、家庭,25.0390690,121.5842450,冰箱、冷氣、熱水器、床、衣櫃、陽台,有,無,無,有,有,有,有,無,無,無,無,,有,無,無,
621,MRT市政府｜近松山文創園區｜綠意景觀｜傢俱可議,信義區-基隆路一段172巷,120000,元/月,整棟出租,3房2廳,47坪,2F/14F,https://rent.591.com.tw/21563471,2026-07-17 23:53:31,3人,上班族、家庭,25.0421693,121.5640934,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、天然瓦斯、沙發、桌椅、陽台、電梯、車位,有,有,有,有,有,有,有,無,無,有,有,有,有,有,有,
622,MRT永春｜信義計畫區｜戶數單純｜泳池豪邸,信義區-忠孝東路五段,350000,元/月,整棟出租,4房2廳,121.8坪,4F/12F,https://rent.591.com.tw/21597035,2026-07-17 23:53:31,4人,學生、上班族、家庭,25.0419093,121.5779808,冷氣、熱水器、天然瓦斯、陽台、電梯、車位,無,無,無,有,有,無,無,無,無,有,無,無,有,有,有,
623,💖可寵物🌟近忠生孝新🌟松江南京🌟華山文創旁,中山區-新生北路一段11號,33000,元/月,整棟出租,2房1廳,25坪,3F/3F,https://rent.591.com.tw/21657528,2026-07-17 23:53:31,2人,學生、上班族、家庭,25.0455424,121.5315444,冰箱、洗衣機、冷氣、熱水器、床、衣櫃、沙發、桌椅、陽台,有,有,無,有,有,有,有,無,無,無,有,有,有,無,無,
624,葫蘆國小【超值租案】可補助★流理臺★獨洗衣機,士林區-延平北路五段,14998,元/月,私人套房,,9坪,3F/3F,https://rent.591.com.tw/21628623,2026-07-17 23:53:31,2人,學生、上班族、家庭,25.0864732,121.5103375,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、第四台、網路WiFi、桌椅,有,有,有,有,有,有,有,有,有,無,無,有,無,無,無,
625,南京三民*興雅學區景觀三房*入籍*拎包入住*寵*車位,松山區-塔悠路,46000,元/月,整棟出租,3房2廳,34.4坪,7F/12F,https://rent.591.com.tw/21645841,2026-07-17 23:53:31,3人,學生、上班族、家庭,25.0514456,121.5697952,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、天然瓦斯、沙發、桌椅、陽台、電梯,有,有,有,有,有,有,有,無,無,有,有,有,有,有,無,
626,中正紀念堂捷運5分鐘，新裝潢電梯大樓,中正區-南海路,10000,元/月,共用套房,,4坪,2F/7F,https://rent.591.com.tw/21591804,2026-07-17 23:53:31,2人,學生、上班族,25.0320480,121.5154010,冰箱、冷氣、熱水器、床、衣櫃、網路WiFi、沙發、車位,有,無,無,有,有,有,有,無,有,無,有,無,無,無,有,
627,中正紀念堂捷運5分鐘，新裝潢電梯大樓,中正區-南海路,16000,元/月,共用套房,,7坪,2F/7F,https://rent.591.com.tw/21591806,2026-07-17 23:53:31,2人,學生、上班族,25.0320480,121.5154010,冰箱、洗衣機、冷氣、熱水器、床、衣櫃、網路WiFi、沙發、車位,有,有,無,有,有,有,有,無,有,無,有,無,無,無,有,
628,悠閒欒樹大道，生活便利，3分至芝山捷,士林區-忠誠路一段,11000,元/月,私人套房,,9.5坪,3F/5F,https://rent.591.com.tw/21650996,2026-07-17 23:53:31,2人,學生、上班族、家庭,25.1048500,121.5285190,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、第四台、網路WiFi、桌椅、車位,有,有,有,有,有,有,有,有,有,無,無,有,無,無,有,
629,科技大樓捷運站/和平東路二段/頂樓加蓋,大安區-復興南路二段,22000,元/月,整棟出租,1房1廳,10坪,頂樓加蓋/12F,https://rent.591.com.tw/21657165,2026-07-17 23:53:31,1人,學生、上班族、家庭,25.0269840,121.5419050,冰箱、洗衣機、冷氣、熱水器、床、衣櫃、天然瓦斯、陽台、電梯,有,有,無,有,有,有,有,無,無,有,無,無,有,有,無,
630,❤️西門站🔸可租補🔸衛浴乾濕分離🔸每週免費清潔,萬華區-漢口街二段,19000,元/月,私人套房,,6坪,8F/10F,https://rent.591.com.tw/21543476,2026-07-17 23:53:31,2人,學生、上班族、家庭,25.0466098,121.5064836,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、網路WiFi、桌椅、電梯,有,有,有,有,有,有,有,無,有,無,無,有,無,有,無,
631,文德站⚡台水電🌟電梯採光套🌸車位❗包裹垃圾代收✅浴缸,內湖區-民權東路六段,34499,元/月,私人套房,,16.3坪,6F/12F,https://rent.591.com.tw/21658633,2026-07-17 23:53:31,2人,學生、上班族、家庭,25.0694965,121.5901455,冰箱、洗衣機、冷氣、熱水器、床、衣櫃、沙發、電梯、車位,有,有,無,有,有,有,有,無,無,無,有,,無,有,有,有
632,事事順利圓滿好運房.生活CP值超佳,信義區-福德街151巷,29955,元/月,私人套房,,27坪,5F/5F,https://rent.591.com.tw/21563367,2026-07-17 23:53:31,2人,家庭、上班族,25.0372900,121.5833520,冷氣、熱水器、陽台,無,無,無,有,有,無,無,無,無,無,無,無,有,無,無,
633,🔆可報稅入籍🔆超值兩房一廳🔆近光復橋🔆垃圾代收,萬華區-西園路二段,19000,元/月,整棟出租,2房1廳,15坪,頂樓加蓋/4F,https://rent.591.com.tw/21609613,2026-07-17 23:53:33,2人,學生、上班族、家庭,25.0280185,121.4946068,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、沙發、桌椅,有,有,有,有,有,有,有,無,無,無,有,有,無,無,無,
634,捷運松山機場/中山國中站/敦化北路/民權東路三段/可租補,松山區-民族東路,49999,元/月,整棟出租,5房2廳,43坪,2F/7F,https://rent.591.com.tw/21653882,2026-07-17 23:53:33,5人,學生、上班族、家庭,25.0615348,121.5491672,洗衣機、電視、冷氣、熱水器、床、衣櫃、天然瓦斯、沙發、桌椅、陽台、電梯,無,有,有,有,有,有,有,無,無,有,有,有,有,有,無,
635,"照過來！超佳3房1大廳,開放空間佈置您最舒適的住家.",信義區-福德街151巷,29955,元/月,整棟出租,3房2廳,30.1坪,5F/5F,https://rent.591.com.tw/21563137,2026-07-17 23:53:33,3人,,25.0372900,121.5833520,冷氣、熱水器、陽台,無,無,無,有,有,無,無,無,無,無,無,無,有,無,無,
636,大橋頭捷運/24小時管理/挑高3米6/採光景觀美宅,大同區-寧夏路,19000,元/月,私人套房,樓中樓,10坪,10F/14F,https://rent.591.com.tw/21625701,2026-07-17 23:53:33,2人,學生、上班族、家庭,25.0609575,121.5139994,電視、冷氣、熱水器、衣櫃、網路WiFi、天然瓦斯、沙發、電梯,無,無,有,有,有,無,有,無,有,有,有,無,無,有,無,
637,💖大安森林公園旁🌟可租補🌟可開伙✨全新裝修✨衛浴開窗,大安區-新生南路三段,25000,元/月,共用套房,,6坪,12F/12F,https://rent.591.com.tw/21571762,2026-07-17 23:53:33,2人,學生、上班族、家庭,25.0258221,121.5345457,冰箱、洗衣機、冷氣、熱水器、床、衣櫃、網路WiFi、天然瓦斯、沙發、桌椅、陽台、電梯,有,有,無,有,有,有,有,無,有,有,有,有,有,有,無,
638,可租補！永春站600公尺廣慈站走5分鐘古典風三房,信義區-林口街,38000,元/月,整棟出租,3房2廳,28坪,4F/4F,https://rent.591.com.tw/21593345,2026-07-17 23:53:33,3人,學生、上班族、家庭,25.0367110,121.5790730,冰箱、洗衣機、冷氣、熱水器、床、衣櫃、天然瓦斯、沙發、桌椅、陽台、車位,有,有,無,有,有,有,有,無,無,有,有,有,有,無,有,
639,💖近台電大樓站🌟可短租🌟可開伙🌟寵物友善,中正區-汀州路三段,28888,元/月,私人套房,,10坪,3F/3F,https://rent.591.com.tw/21601629,2026-07-17 23:53:33,2人,學生、上班族、家庭,25.0182879,121.5297109,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、網路WiFi、桌椅,有,有,有,有,有,有,有,無,有,無,無,有,無,無,無,
640,近捷運永春【超值3房2廳】可補助★可寵物★獨立陽台,信義區-林口街,37999,元/月,整棟出租,3房2廳,27坪,4F/5F,https://rent.591.com.tw/21642251,2026-07-17 23:53:33,3人,學生、上班族、家庭,25.0371040,121.5791290,冰箱、洗衣機、冷氣、熱水器、床、衣櫃、沙發、桌椅、陽台,有,有,無,有,有,有,有,無,無,無,有,有,有,無,無,
641,134A🚇西湖站8分鐘｜內科上班超方便｜收納超強大共用套房,內湖區-環山路一段,13800,元/月,共用套房,,7.4坪,4F/4F,https://rent.591.com.tw/21628341,2026-07-17 23:53:33,1人,學生、上班族、家庭,25.0866148,121.5692476,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、第四台、網路WiFi、沙發、桌椅、陽台,有,有,有,有,有,有,有,有,有,無,有,有,有,無,無,
642,小巨蛋MRT💎寧安公園屋齡新高樓採光3房附車位可寵全天管理,松山區-南京東路四段,81999,元/月,整棟出租,3房2廳,48.3坪,9F/15F,https://rent.591.com.tw/21656020,2026-07-17 23:53:33,3人,學生、上班族、家庭,25.0521262,121.5553582,冰箱、洗衣機、冷氣、熱水器、天然瓦斯、陽台、電梯、車位,有,有,無,有,有,無,無,無,無,有,無,無,有,有,有,
643,🍒獨立兩房🍒萬華車站🍒電梯大樓🍒天然瓦斯🍒台水台電,中正區-中華路二段,34899,元/月,整棟出租,2房2廳,21.3坪,4F/7F,https://rent.591.com.tw/21596858,2026-07-17 23:53:33,2人,學生、上班族、家庭,25.0302023,121.5036337,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、天然瓦斯、沙發、桌椅、陽台、電梯,有,有,有,有,有,有,有,無,無,有,有,有,有,有,無,
